date,time,open,high,low,close,volume,vwap,ema20,rsi14,vwap_distance_pct,ema_slope_strong_up,ema_slope_strong_down,volume_surge,body_pct,is_spike,multi_candle_bullish,multi_candle_bearish,efficiency_ratio,market_state,enough_data,signal,nifty_spot,atm_strike,ce_ltp,pe_ltp,in_position,position_type,position_entry_price,position_current_price
2026-04-13,09:35,23649.9,23655.0,23640.2,23649.0,80059980,23648.44,23907.13,19.15,0.0024,False,True,True,6.08,False,True,False,0.9255,TRENDING,True,NO_SIGNAL,23591.25,23600,325.4,307.1,False,,,
2026-04-13,09:40,23648.0,23696.0,23640.1,23690.0,661706825,23672.41,23886.45,25.54,0.0743,False,True,True,75.13,False,True,False,0.8402,SIDEWAYS,True,NO_SIGNAL,23634.4,23650,341.4,287.7,False,,,
2026-04-13,09:45,23690.0,23690.0,23662.0,23685.0,654439175,23675.5,23867.27,25.28,0.0401,False,True,True,17.86,False,False,True,0.8571,TRENDING,True,NO_SIGNAL,23632.5,23650,312.1,310.0,False,,,
2026-04-13,09:50,23685.0,23708.0,23670.0,23684.9,696554755,23679.53,23849.9,25.28,0.0227,False,True,True,0.26,False,False,True,0.8683,TRENDING,True,NO_SIGNAL,23642.8,23650,313.8,307.25,False,,,
2026-04-13,09:55,23683.2,23720.0,23683.2,23702.5,745133480,23685.4,23835.86,28.28,0.0722,False,True,True,52.45,False,False,True,0.8246,SIDEWAYS,True,NO_SIGNAL,23666.55,23650,325.25,296.7,False,,,
2026-04-13,10:00,23712.2,23714.0,23695.0,23713.9,712653695,23689.86,23824.25,30.24,0.1015,False,True,True,8.95,False,True,False,0.5153,SIDEWAYS,True,NO_SIGNAL,23672.7,23650,329.4,292.4,False,,,
2026-04-13,10:05,23713.9,23718.9,23702.0,23717.0,674865685,23693.5,23814.03,30.79,0.0992,False,True,True,18.34,False,True,False,0.7121,TRENDING,True,NO_SIGNAL,23674.25,23650,330.0,293.35,False,,,
2026-04-13,10:10,23717.0,23724.9,23700.0,23700.0,702496730,23695.61,23803.17,29.42,0.0185,False,True,True,68.27,False,True,False,0.4351,TRENDING,True,NO_SIGNAL,23655.5,23650,319.65,300.8,False,,,
2026-04-13,10:15,23705.0,23715.0,23673.0,23706.5,844253020,23695.98,23793.97,30.69,0.0444,False,True,True,3.57,False,True,False,0.3738,SIDEWAYS,True,NO_SIGNAL,23673.65,23650,329.2,292.25,False,,,
2026-04-13,10:20,23706.5,23766.9,23705.7,23758.0,929148025,23702.57,23790.54,39.96,0.2339,False,True,True,84.15,False,True,False,0.8596,SIDEWAYS,True,NO_SIGNAL,23707.9,23700,350.85,275.5,False,,,
2026-04-13,10:25,23758.0,23770.1,23745.0,23760.4,891669285,23709.14,23787.67,40.36,0.2162,False,True,True,9.56,False,True,False,0.5415,SIDEWAYS,True,NO_SIGNAL,23721.8,23700,329.3,294.05,False,,,
2026-04-13,10:30,23760.4,23769.0,23749.1,23753.9,857695540,23714.03,23784.45,39.59,0.1681,False,True,False,32.66,False,True,False,0.6374,TRENDING,True,NO_SIGNAL,23714.95,23700,327.1,293.05,False,,,
2026-04-13,10:35,23753.9,23769.5,23745.0,23769.5,838092125,23718.3,23783.03,42.43,0.2159,False,True,False,63.67,False,True,False,0.8452,TRENDING,True,NO_SIGNAL,23730.6,23750,334.25,286.1,False,,,
2026-04-13,10:40,23769.0,23778.0,23742.0,23760.6,940860310,23722.15,23780.89,41.24,0.1621,False,True,False,23.33,False,False,True,0.5533,TRENDING,True,NO_SIGNAL,23723.45,23700,300.2,316.7,False,,,
2026-04-13,10:45,23759.7,23782.0,23755.0,23762.2,855546900,23725.57,23779.11,41.56,0.1544,False,True,False,9.26,False,True,False,0.4431,TRENDING,True,NO_SIGNAL,23732.85,23750,332.1,287.9,False,,,
2026-04-13,10:55,23780.0,23780.7,23765.0,23770.0,174680285,23770.69,23793.25,36.45,-0.0029,False,True,True,63.69,False,False,True,0.625,SIDEWAYS,True,NO_SIGNAL,23740.0,23750,308.0,306.75,False,,,
2026-04-13,11:00,23769.0,23777.9,23764.2,23768.7,867532835,23770.34,23790.91,36.3,-0.0069,False,True,True,2.19,False,False,True,0.4795,SIDEWAYS,True,NO_SIGNAL,23739.1,23750,306.0,307.6,False,,,
2026-04-13,11:05,23768.7,23787.9,23768.3,23781.3,749574215,23774.03,23789.99,39.0,0.0306,False,True,True,64.29,False,False,True,0.4088,SIDEWAYS,True,NO_SIGNAL,23750.0,23750,313.9,301.0,False,,,
2026-04-13,11:10,23781.3,23788.0,23762.1,23775.1,843176555,23774.36,23788.57,38.14,0.0031,False,True,True,23.94,False,False,True,0.3196,SIDEWAYS,True,NO_SIGNAL,23743.4,23750,309.35,305.0,False,,,
2026-04-13,11:15,23775.1,23788.0,23774.1,23780.5,791360245,23775.86,23787.81,39.39,0.0195,False,False,True,38.85,False,True,False,0.4674,SIDEWAYS,True,NO_SIGNAL,23747.55,23750,311.7,300.8,False,,,
2026-04-13,11:20,23780.5,23790.0,23763.5,23776.4,903167655,23776.02,23786.72,38.75,0.0016,False,False,True,15.47,False,False,True,0.1438,SIDEWAYS,True,NO_SIGNAL,23742.1,23750,308.35,301.25,False,,,
2026-04-13,11:25,23776.4,23790.0,23770.0,23770.5,837518305,23776.15,23785.17,37.8,-0.0238,False,False,True,29.5,False,False,True,0.1354,SIDEWAYS,True,NO_SIGNAL,23740.85,23750,306.0,304.85,False,,,
2026-04-13,11:30,23770.5,23782.0,23761.3,23768.5,934021725,23775.3,23783.59,37.46,-0.0286,False,False,True,9.66,False,False,True,0.1543,SIDEWAYS,True,NO_SIGNAL,23738.95,23750,307.4,305.05,False,,,
2026-04-13,11:35,23768.4,23800.0,23768.4,23799.9,876990010,23777.08,23785.14,45.63,0.096,False,False,True,99.68,False,False,True,0.5917,SIDEWAYS,True,NO_SIGNAL,23761.5,23750,315.9,294.0,False,,,
2026-04-13,11:40,23799.9,23799.9,23782.0,23794.0,867186905,23778.72,23785.98,44.45,0.0643,False,False,True,32.96,False,False,True,0.6202,TRENDING,True,NO_SIGNAL,23759.15,23750,315.5,295.05,False,,,
2026-04-13,11:45,23794.0,23809.2,23789.0,23809.2,947308115,23781.28,23788.19,48.16,0.1174,False,False,True,75.25,False,True,False,0.8455,TRENDING,True,NO_SIGNAL,23780.3,23800,326.6,281.65,False,,,
2026-04-13,11:50,23815.0,23838.9,23807.8,23833.5,1089561980,23786.29,23792.51,53.49,0.1985,False,False,True,59.49,False,True,False,0.6727,TRENDING,True,NO_SIGNAL,23801.15,23800,313.0,294.35,False,,,
2026-04-13,11:55,23834.0,23848.0,23816.0,23825.0,1118049595,23790.7,23795.6,51.5,0.1442,True,False,True,28.12,False,True,False,0.5755,TRENDING,True,NO_SIGNAL,23786.9,23800,305.95,300.3,False,,,
2026-04-13,12:00,23825.0,23830.0,23816.0,23822.0,947799060,23793.23,23798.12,50.77,0.1209,True,False,False,21.43,False,False,True,0.4787,TRENDING,True,NO_SIGNAL,23788.9,23800,305.65,299.8,False,,,
2026-04-13,12:05,23822.0,23840.0,23822.0,23839.0,942313905,23796.19,23802.01,54.65,0.1799,True,False,False,94.44,False,False,True,0.722,TRENDING,True,NO_SIGNAL,23801.4,23800,312.35,293.0,False,,,
2026-04-13,12:10,23839.0,23848.0,23832.1,23848.0,1024136360,23799.61,23806.39,56.59,0.2033,True,False,False,56.6,False,True,False,0.8939,TRENDING,True,NO_SIGNAL,23814.7,23800,318.7,287.1,False,,,
2026-04-13,12:15,23848.0,23862.9,23840.0,23855.0,1110049265,23803.53,23811.02,58.1,0.2162,True,False,False,30.57,False,True,False,0.8514,TRENDING,True,NO_SIGNAL,23820.8,23800,322.9,288.4,False,,,
2026-04-13,12:20,23859.0,23863.0,23831.5,23845.0,1040450905,23806.31,23814.26,55.16,0.1625,True,False,False,44.44,False,True,False,0.4767,TRENDING,True,NO_SIGNAL,23805.05,23800,318.65,294.1,False,,,
2026-04-13,12:25,23845.0,23884.5,23845.0,23884.5,1141214165,23810.62,23820.95,63.11,0.3103,True,False,False,100.0,False,True,False,0.8829,TRENDING,True,NO_SIGNAL,23839.95,23850,337.4,277.4,False,,,
2026-04-13,12:30,23885.0,23885.0,23860.0,23860.0,1149465395,23814.24,23824.67,56.42,0.1922,True,False,False,100.0,False,False,True,0.5292,TRENDING,True,NO_SIGNAL,23828.85,23850,305.7,308.0,False,,,
2026-04-13,12:35,23865.0,23876.0,23851.3,23872.8,1137161155,23817.3,23829.25,58.88,0.233,True,False,False,31.58,False,True,False,0.5091,TRENDING,True,NO_SIGNAL,23833.6,23850,304.0,308.0,False,,,
2026-04-13,12:40,23872.8,23878.0,23852.5,23870.3,1050072530,23819.83,23833.16,58.19,0.2119,True,False,False,9.8,False,False,True,0.6565,TRENDING,True,NO_SIGNAL,23842.3,23850,308.8,303.05,False,,,
2026-04-13,12:45,23875.0,23875.0,23856.5,23866.1,1108444870,23822.19,23836.3,56.98,0.1843,True,False,False,48.11,False,False,True,0.6391,TRENDING,True,NO_SIGNAL,23839.75,23850,307.35,305.85,False,,,
2026-04-13,12:50,23869.9,23875.0,23856.1,23858.7,1090027120,23824.16,23838.43,54.83,0.145,True,False,False,59.26,False,False,True,0.3127,SIDEWAYS,True,NO_SIGNAL,23822.1,23800,298.0,313.0,False,,,
2026-04-13,12:55,23858.7,23858.7,23815.5,23837.0,1370383690,23824.89,23838.29,48.98,0.0508,True,False,True,50.23,False,False,True,0.1583,SIDEWAYS,True,NO_SIGNAL,23802.7,23800,316.25,298.55,False,,,
2026-04-13,13:00,23839.5,23848.0,23807.0,23813.1,1308395010,23824.78,23835.89,43.48,-0.049,False,False,False,64.39,False,False,True,0.5372,TRENDING,True,NO_SIGNAL,23787.35,23800,306.15,304.8,False,,,
2026-04-13,13:05,23814.8,23847.5,23813.7,23839.9,1191551400,23825.18,23836.28,50.23,0.0618,False,False,False,74.26,False,False,True,0.0654,SIDEWAYS,True,NO_SIGNAL,23806.95,23800,314.85,299.1,False,,,
2026-04-13,13:10,23839.9,23860.0,23837.0,23850.0,1049772035,23826.08,23837.58,52.53,0.1004,False,False,False,43.91,False,True,False,0.4423,SIDEWAYS,True,NO_SIGNAL,23821.3,23800,326.7,290.0,False,,,
2026-04-13,13:15,23852.2,23868.0,23835.9,23868.0,1155833185,23827.33,23840.48,56.4,0.1707,False,False,False,49.22,False,True,False,0.1026,SIDEWAYS,True,NO_SIGNAL,23835.35,23850,332.4,284.35,False,,,
2026-04-13,13:20,23867.4,23870.0,23850.1,23855.0,1070610190,23828.45,23841.86,53.04,0.1114,False,False,False,62.31,False,True,False,0.2507,SIDEWAYS,True,NO_SIGNAL,23826.25,23850,301.55,310.5,False,,,
2026-04-13,13:25,23855.0,23860.0,23853.0,23855.0,973944465,23829.32,23843.11,53.04,0.1078,False,False,False,0.0,False,False,False,0.2155,SIDEWAYS,True,NO_SIGNAL,23824.15,23800,297.5,311.45,False,,,
2026-04-13,13:30,23855.0,23880.0,23855.0,23871.0,1252527575,23830.85,23845.77,56.72,0.1685,True,False,False,64.0,False,False,False,0.0671,SIDEWAYS,True,NO_SIGNAL,23845.7,23850,334.9,276.75,False,,,
2026-04-13,13:35,23876.0,23879.9,23858.5,23863.6,1510592135,23832.49,23847.47,54.59,0.1305,True,False,True,57.94,False,False,False,0.0671,SIDEWAYS,True,NO_SIGNAL,23845.45,23850,305.0,302.5,False,,,
2026-04-13,13:40,23863.6,23870.0,23853.0,23860.0,1396525910,23833.63,23848.66,53.53,0.1106,True,False,False,21.18,False,False,True,0.3151,SIDEWAYS,True,NO_SIGNAL,23836.3,23850,303.15,305.2,False,,,
2026-04-13,13:45,23860.0,23870.0,23850.1,23860.0,1369218760,23834.62,23849.74,53.53,0.1065,False,False,False,0.0,False,False,True,0.6425,TRENDING,True,NO_SIGNAL,23839.5,23850,303.85,304.5,False,,,
2026-04-13,13:50,23860.1,23910.3,23858.8,23910.3,1587108510,23837.06,23855.51,64.61,0.3073,True,False,True,97.48,False,False,False,0.7288,TRENDING,True,NO_SIGNAL,23883.15,23900,321.9,281.05,False,,,
2026-04-13,13:55,23910.3,23935.0,23906.0,23914.8,1771895970,23840.7,23861.16,65.4,0.3108,True,False,True,15.52,False,True,False,0.6539,TRENDING,True,NO_SIGNAL,23893.05,23900,300.25,296.4,False,,,
2026-04-13,14:00,23915.2,23925.0,23903.0,23912.0,1595114105,23843.5,23866.0,64.43,0.2873,True,False,True,14.55,False,True,False,0.444,TRENDING,True,NO_SIGNAL,23888.35,23900,296.55,296.8,False,,,
2026-04-13,14:05,23912.0,23913.0,23880.0,23881.0,1531380305,23845.21,23867.43,54.76,0.1501,True,False,False,93.94,False,False,True,0.3062,SIDEWAYS,True,NO_SIGNAL,23855.35,23850,277.8,314.3,False,,,
2026-04-13,14:10,23880.6,23881.1,23856.5,23867.2,1505954710,23845.99,23867.41,51.08,0.0889,True,False,False,54.47,False,False,True,0.1437,SIDEWAYS,True,NO_SIGNAL,23853.75,23850,304.45,296.45,False,,,
2026-04-13,14:15,23867.2,23888.9,23855.0,23874.0,1470837355,23846.85,23868.03,52.76,0.1139,True,False,False,20.06,False,False,True,0.0353,SIDEWAYS,True,NO_SIGNAL,23856.4,23850,305.25,296.45,False,,,
2026-04-13,14:20,23874.0,23891.1,23869.2,23878.0,1426183655,23847.83,23868.98,53.77,0.1265,False,False,False,18.26,False,True,False,0.1696,SIDEWAYS,True,NO_SIGNAL,23861.65,23850,310.1,290.45,False,,,
2026-04-13,14:25,23887.8,23900.0,23879.4,23885.0,1597338015,23849.15,23870.51,55.56,0.1503,False,False,False,13.59,False,True,False,0.2945,SIDEWAYS,True,NO_SIGNAL,23868.5,23850,310.95,288.2,False,,,
2026-04-13,14:30,23894.0,23919.0,23883.2,23911.9,1655738045,23850.97,23874.45,61.69,0.2555,False,False,False,50.0,False,True,False,0.6113,TRENDING,True,NO_SIGNAL,23880.8,23900,320.45,278.6,False,,,
2026-04-13,14:35,23911.9,23914.9,23892.5,23899.0,1666025530,23852.6,23876.79,57.59,0.1945,True,False,False,57.59,False,False,True,0.1412,SIDEWAYS,True,NO_SIGNAL,23872.3,23850,288.0,307.1,False,,,
2026-04-13,14:40,23892.5,23905.9,23870.0,23892.3,1711432255,23853.77,23878.27,55.52,0.1615,True,False,False,0.56,False,False,True,0.2812,SIDEWAYS,True,NO_SIGNAL,23866.15,23850,311.6,290.2,False,,,
2026-04-13,14:45,23892.3,23912.0,23881.5,23910.0,1550805490,23855.09,23881.29,59.64,0.2302,True,False,False,58.03,False,False,True,0.0286,SIDEWAYS,True,NO_SIGNAL,23883.7,23900,323.75,284.0,False,,,
2026-04-13,14:50,23910.0,23917.4,23893.0,23917.4,1832667720,23856.83,23884.73,61.25,0.2539,True,False,False,30.33,False,True,False,0.5688,TRENDING,True,NO_SIGNAL,23882.45,23900,297.3,298.05,False,,,
2026-04-13,14:55,23917.4,23924.0,23910.0,23912.0,1647535955,23858.46,23887.32,59.39,0.2244,True,False,False,38.57,False,True,False,0.6493,TRENDING,True,NO_SIGNAL,23883.7,23900,294.5,298.0,False,,,
2026-04-13,15:00,23910.0,23913.5,23860.0,23876.0,1997730410,23859.27,23886.25,48.72,0.0701,True,False,True,63.55,False,False,True,0.029,SIDEWAYS,True,NO_SIGNAL,23838.45,23850,274.15,309.95,False,,,
2026-04-13,15:05,23876.0,23888.0,23856.8,23857.0,1857683490,23859.51,23883.46,44.21,-0.0105,False,False,False,60.9,False,False,True,0.3125,SIDEWAYS,True,NO_SIGNAL,23839.3,23850,296.45,299.0,False,,,
2026-04-13,15:10,23857.0,23878.0,23855.4,23863.2,1922502790,23859.69,23881.53,45.97,0.0147,False,False,False,27.43,False,False,True,0.3178,SIDEWAYS,True,NO_SIGNAL,23843.65,23850,301.5,297.6,False,,,
2026-04-13,15:15,23875.0,23875.0,23850.0,23850.0,2009126275,23859.65,23878.53,42.87,-0.0404,False,False,False,100.0,False,False,True,0.8365,SIDEWAYS,True,NO_SIGNAL,23826.55,23850,290.15,298.5,False,,,
2026-04-13,15:20,23850.0,23859.9,23841.0,23847.0,2171675350,23859.32,23875.53,42.18,-0.0516,False,True,True,15.87,False,False,True,0.6265,SIDEWAYS,True,NO_SIGNAL,23822.35,23800,287.0,301.0,False,,,
